name,drug,cells,de_direction,gene
L6-CT,Ket,15654,down,3712.0
L6-CT,Ket,15654,up,1303.0
L6-CT,Psilo,16330,down,4034.0
L6-CT,Psilo,16330,up,1294.0
L4/5-IT,Ket,14627,up,1196.0
L4/5-IT,Ket,14627,down,4401.0
L4/5-IT,Psilo,14263,up,1321.0
L4/5-IT,Psilo,14263,down,4970.0
L4-IT,Ket,10776,up,1292.0
L4-IT,Ket,10776,down,3209.0
L4-IT,Psilo,10200,up,1572.0
L4-IT,Psilo,10200,down,3062.0
L2/3-IT,Ket,17264,down,5157.0
L2/3-IT,Ket,17264,up,1477.0
L2/3-IT,Psilo,18472,up,1598.0
L2/3-IT,Psilo,18472,down,5498.0
L5/6-IT,Ket,8569,up,1072.0
L5/6-IT,Ket,8569,down,3100.0
L5/6-IT,Psilo,8739,up,1081.0
L5/6-IT,Psilo,8739,down,3377.0
CIN-VIP,Ket,3544,down,273.0
CIN-VIP,Ket,3544,up,42.0
CIN-VIP,Psilo,3631,up,115.0
CIN-VIP,Psilo,3631,down,1161.0
CIN-PV,Ket,5736,up,401.0
CIN-PV,Ket,5736,down,2237.0
CIN-PV,Psilo,6011,down,2471.0
CIN-PV,Psilo,6011,up,517.0
CIN-SST,Ket,4274,up,227.0
CIN-SST,Ket,4274,down,1415.0
CIN-SST,Psilo,4491,down,1987.0
CIN-SST,Psilo,4491,up,241.0
Oligodendrocytes,Ket,9352,down,1112.0
Oligodendrocytes,Ket,9352,up,530.0
Oligodendrocytes,Psilo,8111,down,490.0
Oligodendrocytes,Psilo,8111,up,428.0
Astrocytes,Ket,6182,down,2178.0
Astrocytes,Ket,6182,up,314.0
Astrocytes,Psilo,7079,down,2491.0
Astrocytes,Psilo,7079,up,323.0
OPC,Ket,4474,down,917.0
OPC,Ket,4474,up,79.0
OPC,Psilo,4781,down,1262.0
OPC,Psilo,4781,up,60.0
